0,PA0
1,PA1
2,PA2
3,PA3
4,PA4
5,PA5
6,PA6
7,PA7
8,PB0
9,PB1
10,PC0
11,PC1
12,PC2
13,PC3
14,PC4
15,PC5
16,PC13
17,PB2
18,PB3
19,PB4
20,PB5
21,PB6
22,PB7
23,PB8
24,PB9
25,PB10
26,PB11
27,PB12
28,PB13
29,PB14
30,PB15
31,PA15
32,PC6
33,PC7

SW,PB3
LED_RED,PA13
LED_GREEN,PA14
LED_YELLOW,PA15
LED_BLUE,PB4

USB_VBUS,PA9
USB_ID,PA10
USB_DM,PA11
USB_DP,PA12
